trial,noise_condition,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,final_row,final_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std
0,gauss_low,1,14,0,1,5,S,7,5,7,5,10,0.7142857142857143,0.0,0.00014210755512879456,0.8851853609085083
1,gauss_low,1,13,0,8,1,S,1,4,1,4,10,0.7692307692307693,0.0,1.1321850706735859e-05,0.913160081093128
2,gauss_low,1,18,0,5,3,S,8,7,8,7,13,0.7222222222222222,0.0,0.00044806644080431905,0.8920323186450534
3,gauss_low,1,23,0,7,5,W,7,1,7,1,16,0.6956521739130435,0.0,0.00027748106419059457,0.8843009368233059
4,gauss_low,1,11,0,5,3,W,1,6,1,6,7,0.6363636363636364,0.0,0.0002442642366159734,0.8932676965540106
5,gauss_low,1,13,0,4,8,E,5,2,5,2,9,0.6923076923076923,0.0,8.145990802159549e-05,0.8896097907653222
6,gauss_low,1,11,0,2,1,W,8,4,8,4,9,0.8181818181818182,0.0,0.0001454239497785569,0.9114981998096813
7,gauss_low,1,7,0,6,1,W,4,3,4,3,4,0.5714285714285714,0.0,0.0004945843553351941,0.9059825028691973
8,gauss_low,1,4,0,5,5,E,4,7,4,7,3,0.75,0.0,6.54417426630971e-05,0.8885560482740402
9,gauss_low,1,9,0,3,1,S,1,5,1,5,6,0.6666666666666666,0.0,6.76309734141493e-05,0.9159761402342055
10,gauss_low,1,12,0,8,2,W,1,3,1,3,10,0.8333333333333334,0.0,4.7906836850112695e-06,0.9194125284751257
11,gauss_low,1,11,0,7,8,S,3,4,3,4,8,0.7272727272727273,0.0,0.006040632027138186,0.897230554710735
12,gauss_low,1,19,0,1,8,S,7,5,7,5,13,0.6842105263157895,0.0,2.6150467802883787e-05,0.8792113253944799
13,gauss_low,1,9,0,3,7,W,1,4,1,4,5,0.5555555555555556,0.0,0.00011071557870915665,0.8671336770057678
14,gauss_low,1,22,0,4,8,S,8,3,8,3,15,0.6818181818181818,0.0,0.000150767852201997,0.8690776093439623
15,gauss_low,1,14,0,2,1,E,3,8,3,8,10,0.7142857142857143,0.0,5.939831511828483e-05,0.8835114240646362
16,gauss_low,1,11,0,5,2,S,1,2,1,2,6,0.5454545454545454,0.0,0.001431705389512155,0.848634047941728
17,gauss_low,1,16,0,1,7,S,7,2,7,2,13,0.8125,0.0,0.0001421938492285335,0.9054020009934902
18,gauss_low,1,10,0,8,4,E,7,2,7,2,3,0.3,0.3,0.03851185505535568,0.8420748770236969
19,gauss_low,1,15,0,8,7,E,4,3,4,3,12,0.8,0.0,0.0038633987806103204,0.8976927598317465
20,gauss_low,1,19,0,8,3,N,3,8,3,8,14,0.7368421052631579,0.0,0.0009992919253399553,0.8931745165272763
21,gauss_low,1,20,0,5,1,N,7,6,7,6,15,0.75,0.0,0.000786283118418396,0.8897167593240738
22,gauss_low,1,16,0,4,8,S,1,6,1,6,7,0.4375,0.0,9.165623357887398e-05,0.8328141421079636
23,gauss_low,1,10,0,5,1,N,3,6,3,6,7,0.7,0.0,0.00047544357364586175,0.903598552942276
24,gauss_low,1,10,0,8,6,N,4,7,4,7,7,0.7,0.0,5.926411722612101e-06,0.8831334352493286
